University,Features
Community College of the Air Force,Community College of the Air Force 130 W Maxwell Blvd Montgomery AL 361126613
Community College of the Air Force,Community College of the Air Force 2250 Stanley Road Unit 161 Fort Sam Houston TX 782346400
Alabama A  M University,Alabama A  M University 4900 Meridian Street Normal AL 35762
University of Alabama at Birmingham,University of Alabama at Birmingham 1720 2nd Avenue South Birmingham AL 35233
University of Alabama at Birmingham,UAB School of Optometry 1716 University Boulevard Birmingham AL 35294
University of Alabama at Birmingham,UAB School of Dentistry Old Hillman Bldg 1919 7th Avenue South Birmingham AL 35233
Amridge University,Amridge University 1200 Taylor Rd Montgomery AL 361173553
University of Alabama at Huntsville,University of Alabama at Huntsville 301 Sparkman Dr Huntsville AL 35899
Alabama State University,Alabama State University 915 S Jackson Street Montgomery AL 36104
The University of Alabama,The University of Alabama 739 University Boulevard Tuscaloosa AL 354870100
Central Alabama Community College,Central Alabama Community College 1675 Cherokee Road Alexander City AL 35010
Central Alabama Community College,Childersburg Campus 34091 US Hwy 280 Childersburg AL 35044
Central Alabama Community College,Alexander City Campus 1675 Cherokee Road PO Box 699 Alexander City AL 35010
Athens State University,Athens State University 300 N Beaty St Athens AL 35611
Athens State University,Northeast Alabama CC 138 Lowell Barron Highway W Rainsville AL 35986
Athens State University,Northwest  Shoals Alabama CC 800 George Wallace Road Muscle Shoals AL 35662
Athens State University,Redstone Arsenal Bldg 3200 Little John Road Athens State Universi Redstone Arsenal AL 35898
Athens State University,Snead State CC 220 North Walnut Street Boaz AL 35957
Athens State University,Wallace State Comm Coll  Hanceville 801 Main Street Hanceville AL 35077
Auburn UniversityMontgomery,Auburn UniversityMontgomery 7440 East Drive PO Box 244023 Montgomery AL 361173596
Auburn University Main Campus,Auburn University Main Campus 107 Samford Hall Auburn University AL 36849
Auburn University Main Campus,Mobile Campus Pharmacy USA Rsch Park 650 Clinic Drive Rm 2100 Mobile AL 366880002
Birmingham Southern College,Birmingham Southern College 900 Arkadelphia Road Birmingham AL 35254
Chattahoochee Valley Community College,Chattahoochee Valley Community College 2602 College Dr Phenix City AL 36869
Concordia College Alabama,Concordia College Alabama 1804 Green Street Selma AL 36701
DCH Regional Medical Center,DCH Regional Medical Center 809 University Blvd East Tuscaloosa AL 35401
Enterprise State Community College,Enterprise State Community College 600 Plaza Drive Enterprise AL 363301300
Enterprise State Community College,AAC at Mobile 1975 Ave C Mobile AL 366151403
Enterprise State Community College,AAC at Ozark 3405 Hwy 231 S Ozark AL 36360
